"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (number of persons) 1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
998,United States (Metropolitan Portion),164843228,167202675,169627399,171570213,173298804,174982402,176542454,178200580,179944133,181911129,183991868,186285551,188276513,190246033,192221004,194208456,196382551,198737084,201004171,203231553,205534044,208238817,211250823,214388467,217356945,220147801,222856890,225614988,228561390,231514481,234479391,237418571,240185545,242723041,245051163,247568092,250097293,252699347,255358770,258055365,260633360,263104959,265481592,267918605,270293430,272799378,275315786
10180,"Abilene, TX (Metropolitan Statistical Area)",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165609,166639,167578,167549,168380,169578
10420,"Akron, OH (Metropolitan Statistical Area)",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703119,703180,702674,703788,704835,704243
10500,"Albany, GA (Metropolitan Statistical Area)",124626,127420,131064,135481,137763,134109,135587,138131,141309,142070,144480,146793,148567,149660,149716,150313,151062,150405,149611,148651,147705,146642,147910,150065,151993,153232,154087,155576,156748,157452,157644,157610,157735,156947,156914,156911,156886,157412,157367,157551,157969,157665,157805,157370,155864,155020,153526
10540,"Albany, OR (Metropolitan Statistical Area)",70221,72587,75547,76467,78150,79006,80942,82420,84723,86334,88999,89668,90173,89748,89415,89253,88019,88026,88069,89223,89890,91690,93145,94112,95496,96919,98853,100582,102054,102770,103462,103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116890,118137,118359,118545,119269,120547
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",741040,749695,761289,772468,774486,772691,774345,772927,774635,776648,776196,771823,772505,773678,777649,779804,783736,788761,791466,798121,803919,811352,818272,824285,827812,830817,830439,828007,824711,823712,824119,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871112,873222,875542,878542,880091,881830
10740,"Albuquerque, NM (Metropolitan Statistical Area)*",377600,382076,397496,407732,426583,440633,450712,464570,481349,492914,508581,525593,534415,511169,522356,533544,544603,558859,574324,583976,594036,602588,616345,633032,649987,669734,687901,700161,709661,717406,722692,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889625,897024,901103,903502,904720,907301
10780,"Alexandria, LA (Metropolitan Statistical Area)",131387,132287,136756,137425,139971,140176,141141,143786,146270,147614,149880,152197,152773,152877,154017,154515,153989,154335,153188,151377,150180,148982,149046,147621,142225,143086,144162,143970,143986,144330,144803,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154131,154408,154459,154785,154798,154484
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",589204,595577,601892,605156,610947,617690,622114,624814,627598,629719,633073,636389,638748,640790,641637,644843,648256,654365,663413,674767,682657,688801,696168,702948,708776,714019,717685,722063,726464,730779,736327,741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,822157,825219,827115,826766,829731,832327
11020,"Altoona, PA (Metropolitan Statistical Area)",135488,135538,136999,137687,136556,136956,136611,136023,137015,137705,137966,136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127051,127192,127015,126426,126016,125593
11100,"Amarillo, TX (Metropolitan Statistical Area)",170368,155258,158182,160557,161637,163395,165916,169368,173027,175670,181120,185546,188598,192559,195720,198910,199407,200618,200360,201069,199721,198488,200626,203371,207282,211306,217400,219808,222054,223545,226621,229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252725,256069,257915,259061,260987,262056
11180,"Ames, IA (Metropolitan Statistical Area)",61177,62885,63651,64612,66375,67669,68014,69071,69899,71311,71442,72468,72864,72292,73316,73408,74050,74022,73312,73881,73711,74382,74497,75130,76008,75899,76265,76937,77833,78221,79372,80152,80260,81885,82068,82754,82884,84739,86540,87831,89285,89633,90956,91868,93627,95456,96021
11260,"Anchorage, AK (Metropolitan Statistical Area)",129696,134230,141875,151010,155729,161355,175236,186127,189680,194074,195031,193839,199831,216861,237309,252265,264128,270074,265211,263645,263958,267762,277407,290307,296514,300188,301878,302606,306480,312895,317172,320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383166,388174,392404,397414,398642,399790
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859,264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270,324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,345563,349048,351213,354289,357029,358880
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118437,117768,117286,116575,115993,115620
11540,"Appleton, WI (Metropolitan Statistical Area)",143488,147307,148324,149228,148989,150556,153496,152296,154282,155590,156784,159892,160685,161454,162093,163293,164668,166459,168530,171443,173276,175333,177039,179533,182315,185813,188656,191586,194050,196776,199495,202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225944,227482,228641,229927,231483,233007
11700,"Asheville, NC (Metropolitan Statistical Area)",244960,246263,251104,253306,257291,260984,264807,266999,270770,275655,279654,283635,285988,289085,289822,293506,296586,299050,300229,302741,305480,309502,315160,321240,328220,334878,341739,347921,354052,359909,365159,370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425462,428387,431983,437267,441782,446840
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",92643,94672,97214,100987,105560,107666,108211,106120,107309,108452,109148,114324,117011,118289,120365,122473,124327,125434,128002,130586,133894,136914,139359,141899,144916,148953,151718,154977,158291,160330,163456,166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193451,194618,196397,197892,199029,203189
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1830794,1862083,1923687,1986477,2055233,2109395,2127779,2152893,2194331,2234980,2295738,2352155,2403406,2453618,2516569,2593856,2689442,2784902,2881787,2965367,3033139,3104221,3195398,3291991,3402250,3523718,3644699,3765817,3888398,4021410,4157862,4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5303758,5374179,5455324,5523527,5615364,5710795
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274761,275078,275763,276321,275499,274219
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",55869,61262,61896,62158,64588,68823,69373,69980,71861,74069,75990,76610,77777,79001,79121,80289,81176,82776,82681,84601,85851,87735,89508,91572,94295,96057,99386,102185,106578,109936,112898,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140782,144087,147899,151506,154426,156993
