CA30 Economic Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wages and salaries (thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
998,United States (Metropolitan Portion),455726287,485091862,514474381,562559482,624293426,679627533,716006577,788153568,871149929,983255501,1100157555,1207042269,1329094577,1398825178,1482721181,1634647432,1763453446,1877687897,2018970356,2185752884,2315576410,2457312473,2519854595,2658881923,2759812373,2899043351,3065119824,3248435271,3488443788,3772085366,4034232653,4380718923,4496838111,4528109854,4655678697,4916659858,5168012170,5503173176,5816796302,5935738102,5673302014,5786219144,6020698026,6295893169,6470199474,6804517481,7166846125
10180,"Abilene, TX (Metropolitan Statistical Area)",218185,236292,249548,278856,301142,348993,399172,448605,493585,571585,658845,770495,932330,983732,1004620,1057472,1111736,1069321,1048135,1082213,1079104,1113500,1171151,1220236,1265364,1320096,1391952,1468377,1560962,1609599,1657912,1727250,1771266,1855158,1908516,2007235,2082791,2236308,2407264,2546739,2487534,2498610,2591365,2739496,2826744,2981588,2994122
10420,"Akron, OH (Metropolitan Statistical Area)",1902128,1971033,2039043,2231729,2439354,2611203,2630885,2794043,3153179,3499213,3808118,4002524,4286610,4345119,4515773,4922061,5212547,5478840,5769414,6134063,6476167,6777397,6935074,7367904,7735754,8231825,8666703,9131155,9579990,10136658,10440650,10896407,11002308,11342797,11795609,12452444,12938283,13373322,13933315,14230253,13407737,13626933,14120105,14715844,14886034,15555071,16265225
10500,"Albany, GA (Metropolitan Statistical Area)",215725,245585,271648,314890,363536,374009,384507,428415,481493,555913,637019,704463,775919,809551,851587,931672,987505,1006581,1038079,1096798,1144162,1219851,1277301,1310470,1388973,1521351,1610964,1719905,1772610,1823077,1844761,1926339,1967464,1998801,2070918,2137225,2226713,2268302,2342097,2394122,2362970,2366281,2387910,2438984,2444863,2481473,2484594
10540,"Albany, OR (Metropolitan Statistical Area)",150576,158559,175045,194663,221422,249000,269706,313635,358813,406759,443673,474373,489620,474144,495832,528753,543257,550194,586964,643256,685269,721984,755252,795924,839628,921711,1012266,1101235,1171213,1201750,1227264,1241330,1258877,1273312,1280557,1334182,1432883,1541828,1630235,1668331,1528331,1524867,1559027,1610915,1645680,1733172,1836692
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2072465,2288843,2516646,2687581,2900837,3097934,3184546,3392965,3620988,3997206,4366485,4728620,5112023,5481753,5837286,6474637,7031570,7584435,8204713,8958830,9582731,10177508,10369855,10788536,11209468,11597136,11711485,12051653,12592762,13414504,14114128,15229342,16046959,16245354,16808791,17364677,17759446,18622345,19173301,20124742,20135790,20301175,20775823,21422511,22200797,23057288,24234767
10740,"Albuquerque, NM (Metropolitan Statistical Area)*",804126,890749,997058,1146497,1276272,1391508,1527683,1734671,1954187,2272969,2595114,2860341,3142399,3276547,3618244,4001301,4378211,4668398,4981308,5295023,5558302,5917860,6276975,6731061,7310099,8041691,8682062,9071670,9604271,10129217,10558658,11388170,12014577,12339083,12879529,13607295,14394347,15429209,16116759,16580469,16290726,16176037,16404122,16655231,16753987,17287658,17851988
10780,"Alexandria, LA (Metropolitan Statistical Area)",217407,226352,252482,275078,301991,322690,349547,391495,430369,483294,524865,606005,670821,701058,735999,780351,804946,827115,857065,894105,958507,1020562,1062647,1069732,1106275,1172596,1238880,1285920,1329905,1444292,1518233,1580573,1651469,1731307,1791349,1916538,2047146,2252486,2390655,2505763,2471992,2441806,2477581,2517656,2533926,2601350,2626283
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1522314,1632002,1707017,1886753,2141423,2392681,2505118,2675728,2902461,3217938,3577100,3861585,4124152,4195980,4263474,4689407,4937217,5100368,5544969,6030844,6432105,6687583,6868578,7292368,7546695,7883951,8247788,8555001,9111637,9686523,10329410,10875131,11262950,11626648,12008546,12543909,13115224,13899272,14704677,14927310,14485574,14760097,15315082,15912351,16289360,17073829,17782517
11020,"Altoona, PA (Metropolitan Statistical Area)",296529,318590,332217,354066,391462,423371,443289,500679,559436,613965,675035,692928,719182,695267,688720,734886,795966,848188,889443,926224,981445,1034943,1058954,1142314,1207335,1270135,1308231,1374296,1444910,1539659,1632986,1676503,1713184,1745435,1803190,1884796,1942751,1990955,2098869,2139660,2146854,2162391,2231749,2270532,2306489,2384407,2471608
11100,"Amarillo, TX (Metropolitan Statistical Area)",322149,352984,378107,405545,458132,539791,628350,708813,786992,895156,1011455,1119919,1266766,1365612,1455775,1562179,1629266,1603555,1674870,1628828,1641660,1702793,1790102,1912272,2043251,2208893,2353014,2417875,2544162,2691298,2810415,2933471,3042232,3144379,3266982,3455703,3624941,3951452,4198305,4476280,4433591,4516140,4648865,4848740,4940564,5140986,5346360
11180,"Ames, IA (Metropolitan Statistical Area)",117866,129892,141734,153678,175611,198526,221511,252046,292659,332583,368683,396406,416055,434288,457234,496212,524592,538240,568871,616900,662917,703254,729678,768710,817464,866135,914929,973435,1039789,1108867,1183695,1229034,1270061,1306140,1367517,1427226,1479859,1562779,1652038,1729219,1727514,1738191,1778270,1866728,1933714,2075884,2181716
11260,"Anchorage, AK (Metropolitan Statistical Area)",545894,611521,673050,742702,813245,1034210,1407856,1675212,1866941,1822420,1877759,2090243,2458021,2915954,3240363,3512988,3659191,3587322,3338799,3354824,3639073,3990653,4216023,4423178,4654422,4806255,4779188,4901082,5188286,5463877,5595178,5867938,6292588,6665704,6965619,7389505,7820795,8246356,8777026,9253043,9561801,9772401,10086127,10558347,10772662,11116093,11437860
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",767791,769058,868018,964020,1120736,1169609,1221197,1473878,1712611,2031526,2270654,2362955,2537246,2576399,2783610,3129859,3451255,3643022,3839411,4187820,4447905,4741622,4739945,5007870,5187434,5515523,5634528,5922246,6408943,6931349,7621190,8139692,8076069,8399971,8572948,8778012,8944071,9079609,9409462,9100488,8789749,8990423,9225414,9639839,9942378,10299793,10893116
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",222635,222603,247542,275129,295113,322671,352039,398780,450281,490211,530063,599829,651364,684859,725345,799837,837807,875363,919308,959723,982770,1010921,1056959,1092503,1110899,1137979,1188408,1201611,1258237,1319824,1327078,1289679,1316900,1381885,1459122,1567626,1645132,1737159,1888457,1945902,1865740,1855662,1860994,1815952,1719809,1740161,1728621
11540,"Appleton, WI (Metropolitan Statistical Area)",325998,355443,368004,403347,466654,526049,543350,618469,684151,772952,915035,984678,1055949,1093302,1152701,1274403,1363927,1453017,1578852,1726383,1811064,1923735,2046282,2220346,2329268,2502382,2624585,2804146,2961641,3043643,3258969,3497504,3725304,3779115,3935905,4203351,4322609,4471025,4710845,4802736,4591284,4668880,4867038,5088729,5165536,5417211,5699947
11700,"Asheville, NC (Metropolitan Statistical Area)",468819,495021,539386,611272,707661,756708,756654,849958,948007,1076386,1185568,1315575,1428411,1482579,1605324,1790357,1918494,2035687,2194836,2391619,2538047,2699731,2807344,3003826,3199532,3389830,3582045,3785694,4062594,4303016,4523248,4745076,4878600,4929131,5083963,5357299,5599030,5997572,6375443,6486780,6171200,6271744,6419204,6663743,6884318,7203317,7656044
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",176969,199034,221451,249739,282837,325214,334027,376965,417607,474725,517187,564863,627792,654297,730409,784832,854898,936828,1018003,1107878,1187668,1276748,1302633,1355348,1440390,1542848,1662176,1772217,1860180,1994738,2111815,2222008,2325223,2404937,2534545,2622875,2781696,2953952,3089985,3240040,3158545,3157643,3207727,3307956,3372971,3512456,3787866
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",5126058,5580037,6108571,6952902,7935703,8639410,8885761,9860965,11113398,12664294,14268844,16135298,18075329,19458514,21598809,24905227,28082003,31066382,34284678,37297651,39153019,41788172,43114714,46564785,50014684,53843709,58761024,64257466,70297500,78266555,85901664,94459303,97290084,96686842,98829532,103765838,109850155,116579456,123783777,123510705,116762889,118314777,123592116,129266027,133446248,142286215,150970041
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",379905,412706,442475,487215,548806,581506,597178,656134,704928,817688,1072833,1345011,1666069,1804961,2006528,2245431,2449703,2654005,2915993,3208942,3396337,3614144,3522342,3695909,3801863,3943619,4057907,4217619,4344814,4515361,4636639,4840103,5100992,5234050,5400848,5661748,5944637,6187692,6289225,6440117,5990065,5980001,6017188,6049485,6027932,6065885,6045749
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",103810,110593,119824,135437,154674,170752,181709,203332,238270,273770,297174,332747,362230,372436,418525,474977,501558,523205,559549,610806,676434,702302,710823,761500,784020,828225,875559,903743,964548,995521,1059781,1111509,1130711,1199344,1281872,1415687,1492174,1614118,1697945,1744818,1705593,1696196,1764020,1847068,1919395,2047520,2169490
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",793073,767438,820580,886723,979172,1092810,1135089,1323501,1458221,1626984,1815416,1997795,2203265,2503302,2695945,3060994,3389073,3652685,3745824,3986182,4358546,4810646,4949505,5227377,5377791,5538581,5697552,5763215,6012800,6366976,6641130,6962166,7155577,7392178,7759685,8110205,8430949,8685539,9057690,9424836,9340617,9613569,9867498,10136637,10117165,10451808,11021861
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",801732,896585,1003118,1143879,1306392,1459957,1633382,1882129,2142736,2481004,2885142,3336274,3937578,4457725,5163593,6177645,7064349,7316392,7400608,7726450,8144479,9014256,9802864,10764511,11892273,12910179,14481254,15985712,18113504,21956112,25458500,28345340,28284794,26813639,27456169,28932601,31352524,34524678,36904427,38382053,37451566,39235783,41952014,44848156,47099203,51014354,55478518
12540,"Bakersfield, CA (Metropolitan Statistical Area)",769798,806021,856138,913899,1030698,1183112,1328140,1489013,1651085,1848379,2092711,2374807,2684596,2907028,3015430,3302082,3606801,3762825,3851827,4223444,4454020,4867590,5207279,5211571,5289006,5437040,5714352,5949974,6278773,6767176,6886861,7414968,7947968,8357411,8795168,9267565,10058340,10983359,11822335,12401426,11918009,12343320,12927065,14128885,14599973,15415979,15561436
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",5940607,6376078,6788812,7348231,8101400,8892906,9320928,10077811,10882090,12097291,13226079,14412361,15735309,16360992,17568169,19215644,20813104,22291948,24267194,26506071,28177613,29819196,30246855,31078797,31979961,33431122,34852908,36533319,38872219,41403155,44463873,47708842,50298341,52152552,54134259,58005837,61251910,64811892,67805854,69384445,68621842,70324694,73154981,76417582,77577021,80219969,84125070
12620,"Bangor, ME (Metropolitan Statistical Area)",251392,273824,290311,324246,355865,383940,417491,477623,514694,561973,631211,693338,738504,772785,834869,912352,965254,1017990,1120870,1237892,1326219,1366651,1355326,1404487,1453116,1505219,1557000,1595682,1686374,1794156,1896333,2002498,2115643,2180533,2201799,2303357,2381739,2489350,2580617,2665017,2641505,2623528,2656545,2711348,2769748,2842473,2962254
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",188835,207889,233260,261043,291658,307811,324172,365205,414769,471366,524897,581578,654991,708530,791997,923326,1047274,1190509,1363302,1483707,1500391,1504933,1498381,1566246,1641304,1738834,1863736,1988756,2131341,2331116,2679546,2785523,2950257,3101028,3269026,3449937,3486486,3605004,3733533,3806293,3695061,3720246,3818028,3969016,4105733,4277980,4496349
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",963452,1018656,1097258,1204897,1334923,1568192,1790791,2155135,2413420,2770319,3120289,3713808,4149074,4369464,4418772,4698345,4815661,4638658,4727169,5147192,5475795,5991202,6446829,7024893,7199454,7674177,8099892,8514838,8891924,9684517,10101326,10548116,10787714,11140462,11539923,12023861,12885179,14205610,15397817,16543292,16589997,16453062,16917720,17723875,18626127,19583594,20594549
12980,"Battle Creek, MI (Metropolitan Statistical Area)",411197,412224,448109,492748,549542,579707,614818,690455,755257,835149,906762,913562,962857,953850,963467,994749,1095163,1151277,1261281,1355117,1410043,1479732,1554275,1665257,1695500,1806130,1900498,1956176,2088316,2136016,2127751,2189503,2184867,2305526,2310738,2378006,2408213,2455073,2503516,2580481,2490318,2532876,2530270,2667099,2728198,2843539,2946919
13020,"Bay City, MI (Metropolitan Statistical Area)",235284,234109,254238,270704,306638,329557,335022,382694,437080,474288,507923,517410,573795,564787,575740,611019,643481,682665,704682,759636,768349,822711,842903,892143,949071,1005586,1073388,1170627,1219996,1276004,1309367,1370271,1338541,1337680,1352628,1361213,1377214,1424153,1445921,1468609,1428237,1417523,1460287,1501175,1553047,1558427,1601502
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",818214,880724,925684,984445,1076456,1258234,1360070,1667063,1872299,2072473,2304709,2543990,2896583,2950834,2919575,2945149,2889437,2743476,2779693,2952768,3040111,3304728,3639391,3878972,3846889,4012117,4147286,4225606,4634020,4998096,4966304,5099124,5191736,5228074,5386682,5505087,5832518,6466573,6872090,7368573,7106816,7238746,7665008,8016965,7858336,8532837,8952641
